,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
2487,1,4450000.0,31.7,21.0,6.0,15.162794860361693,NA,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2488,1,4500000.0,32.0,26.0,6.0,17.44366299853954,12.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
2489,1,4500000.0,30.4,18.6,5.6,13.994575427871217,10.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
2490,1,4500000.0,33.5,17.5,8.0,18.486999232134796,5.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0
2491,1,4500000.0,36.0,23.0,7.0,19.34979210789948,20.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
2492,2,19400000.0,72.7,38.9,11.9,10.434333126264061,15.0,1.0,1.0,1.0,1.0,22.0,29.0,0.0
2493,2,8600000.0,53.0,29.0,9.0,16.903262150352894,10.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0
2494,1,6100000.0,38.0,20.0,7.0,17.204762783425824,14.0,1.0,1.0,0.0,1.0,15.0,17.0,0.0
2495,1,3050000.0,13.0,9.0,2.0,9.36945862929236,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
2496,1,3300000.0,13.3,9.0,1.0,16.366554216915958,5.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0
2497,1,3600000.0,15.0,13.0,2.0,17.11487893984176,NA,0.0,1.0,0.0,0.0,5.0,6.0,0.0
2498,1,3600000.0,16.0,14.0,NA,14.716996360034642,10.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
2499,1,3800000.0,24.5,17.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2500,1,3990000.0,49.0,22.0,10.0,19.84721877192449,5.0,0.0,1.0,1.0,1.0,22.0,25.0,1.0
2501,1,4000000.0,27.0,19.0,4.5,14.564196526709072,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2502,2,4000000.0,38.2,24.0,7.0,16.346721137796283,18.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0
2503,1,4100000.0,24.0,16.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2504,1,4100000.0,24.0,16.0,4.0,11.719176616119672,12.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2505,2,4100000.0,46.0,32.0,6.5,19.402395718899548,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2506,1,4150000.0,24.0,14.0,4.5,13.798490165310644,14.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2507,1,4200000.0,36.0,18.0,9.0,17.205548371211044,10.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0
2508,1,4300000.0,31.0,19.0,6.0,11.889473755844124,23.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
2509,1,4300000.0,25.0,14.0,4.0,11.166249124152435,18.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2510,1,4300000.0,28.4,17.0,5.7,12.853908847176719,10.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2511,1,4400000.0,32.0,20.0,6.0,14.745396179891863,5.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0
2512,1,4400000.0,33.0,19.4,6.0,18.780775367857647,29.0,1.0,1.0,1.0,1.0,5.0,9.0,0.0
2513,1,4400000.0,40.0,21.0,9.3,17.367821842087928,NA,0.0,0.0,1.0,0.0,1.0,12.0,0.0
2514,1,4450000.0,34.7,20.9,7.0,18.50702884438481,10.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0
2515,1,4450000.0,31.7,21.0,6.0,15.162794860361693,NA,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2516,1,4500000.0,32.0,26.0,6.0,17.44366299853954,12.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
2517,1,4500000.0,30.4,18.6,5.6,13.994575427871217,10.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
2518,1,4500000.0,33.5,17.5,8.0,18.486999232134796,5.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0
2519,1,4500000.0,36.0,23.0,7.0,19.34979210789948,20.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
2520,1,13200000.0,47.8,19.3,10.2,10.434333126264061,15.0,1.0,1.0,1.0,1.0,19.0,29.0,0.0
2521,1,10550000.0,42.0,18.0,10.0,10.756026551876422,12.0,1.0,0.0,0.0,1.0,17.0,17.0,0.0
2522,2,7500000.0,54.1,32.4,9.3,20.807815807682648,7.0,1.0,0.0,1.0,1.0,17.0,17.0,0.0
2523,1,3050000.0,13.0,9.0,2.0,9.36945862929236,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
2524,1,3300000.0,13.3,9.0,1.0,16.366554216915958,5.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0
2525,1,3600000.0,15.0,13.0,2.0,17.11487893984176,NA,0.0,1.0,0.0,0.0,5.0,6.0,0.0
2526,1,3600000.0,16.0,14.0,NA,14.716996360034642,10.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
2527,1,3800000.0,24.5,17.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2528,1,3990000.0,49.0,22.0,10.0,19.84721877192449,5.0,0.0,1.0,1.0,1.0,22.0,25.0,1.0
2529,1,4000000.0,27.0,19.0,4.5,14.564196526709072,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2530,2,4000000.0,38.2,24.0,7.0,16.346721137796283,18.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0
2531,1,4100000.0,24.0,16.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2532,1,4100000.0,24.0,16.0,4.0,11.719176616119672,12.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2533,2,4100000.0,46.0,32.0,6.5,19.402395718899548,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2534,1,4150000.0,24.0,14.0,4.5,13.798490165310644,14.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2535,1,4200000.0,36.0,18.0,9.0,17.205548371211044,10.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0
2536,1,4300000.0,31.0,19.0,6.0,11.889473755844124,23.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
2537,1,4300000.0,25.0,14.0,4.0,11.166249124152435,18.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2538,1,4300000.0,28.4,17.0,5.7,12.853908847176719,10.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2539,1,4400000.0,32.0,20.0,6.0,14.745396179891863,5.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0
2540,1,4400000.0,33.0,19.4,6.0,18.780775367857647,29.0,1.0,1.0,1.0,1.0,5.0,9.0,0.0
2541,1,4400000.0,40.0,21.0,9.3,17.367821842087928,NA,0.0,0.0,1.0,0.0,1.0,12.0,0.0
2542,1,4450000.0,34.7,20.9,7.0,18.50702884438481,10.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0
2543,1,4450000.0,31.7,21.0,6.0,15.162794860361693,NA,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2544,1,4500000.0,32.0,26.0,6.0,17.44366299853954,12.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
2545,1,4500000.0,30.4,18.6,5.6,13.994575427871217,10.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
2546,1,4500000.0,33.5,17.5,8.0,18.486999232134796,5.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0
2547,1,4500000.0,36.0,23.0,7.0,19.34979210789948,20.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
2548,4,29800000.0,228.0,125.0,21.8,14.225587093171141,NA,0.0,0.0,0.0,1.0,15.0,16.0,0.0
2549,1,11500000.0,51.8,21.1,14.2,10.434333126264061,NA,0.0,1.0,0.0,1.0,7.0,30.0,0.0
2550,1,6500000.0,39.0,20.0,9.0,10.185310345257134,NA,0.0,0.0,1.0,1.0,2.0,5.0,0.0
2551,1,3050000.0,13.0,9.0,2.0,9.36945862929236,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
2552,1,3300000.0,13.3,9.0,1.0,16.366554216915958,5.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0
2553,1,3600000.0,15.0,13.0,2.0,17.11487893984176,NA,0.0,1.0,0.0,0.0,5.0,6.0,0.0
2554,1,3600000.0,16.0,14.0,NA,14.716996360034642,10.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
2555,1,3800000.0,24.5,17.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2556,1,3990000.0,49.0,22.0,10.0,19.84721877192449,5.0,0.0,1.0,1.0,1.0,22.0,25.0,1.0
2557,1,4000000.0,27.0,19.0,4.5,14.564196526709072,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2558,2,4000000.0,38.2,24.0,7.0,16.346721137796283,18.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0
2559,1,4100000.0,24.0,16.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2560,1,4100000.0,24.0,16.0,4.0,11.719176616119672,12.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
